Created as New Dataset,Sample 114 By Administrator Date Thursday, July 30 2020
cm-1,A,
1362,0.2486,
1360,0.2582,
1358,0.27,
1356,0.2869,
1354,0.3103,
1352,0.3301,
1350,0.3328,
1348,0.3237,
1346,0.3152,
1344,0.3069,
1342,0.2969,
1340,0.2855,
1338,0.2748,
1336,0.2652,
1334,0.2573,
1332,0.2511,
1330,0.2467,
1328,0.2436,
1326,0.2414,
1324,0.2386,
1322,0.2345,
1320,0.2292,
1318,0.2245,
1316,0.2213,
1314,0.2196,
1312,0.2189,
1310,0.2189,
1308,0.2191,
1306,0.2202,
1304,0.222,
1302,0.2243,
1300,0.2262,
1298,0.2279,
1296,0.2299,
1294,0.2328,
1292,0.2371,
1290,0.2433,
1288,0.2511,
1286,0.2598,
1284,0.2686,
1282,0.2787,
1280,0.2916,
1278,0.3083,
1276,0.3298,
1274,0.3575,
1272,0.393,
1270,0.4383,
1268,0.4934,
1266,0.5596,
1264,0.6457,
1262,0.7743,
1260,0.9683,
1258,1.1724,
1256,1.1572,
1254,0.9267,
1252,0.7033,
1250,0.5448,
1248,0.4403,
1246,0.371,
1244,0.3229,
1242,0.2877,
1240,0.2609,
1238,0.2401,
1236,0.2234,
1234,0.2098,
1232,0.1985,
1230,0.189,
1228,0.1807,
1226,0.1732,
1224,0.1664,
1222,0.1602,
1220,0.1548,
1218,0.1503,
1216,0.1464,
1214,0.1433,
1212,0.1406,
1210,0.1386,
1208,0.1368,
1206,0.1353,
1204,0.1333,
1202,0.1309,
1200,0.1283,
1198,0.1258,
1196,0.1238,
1194,0.1222,
1192,0.1209,
1190,0.12,
1188,0.1193,
1186,0.1189,
1184,0.1186,
1182,0.1186,
1180,0.1186,
1178,0.119,
1176,0.1196,
1174,0.1206,
1172,0.1218,
1170,0.1234,
1168,0.1253,
1166,0.1276,
1164,0.1301,
1162,0.1327,
1160,0.1351,
1158,0.1367,
1156,0.1369,
1154,0.1359,
1152,0.1346,
1150,0.1333,
1148,0.1324,
1146,0.1319,
1144,0.1317,
1142,0.132,
1140,0.1326,
1138,0.1335,
1136,0.1348,
1134,0.1366,
1132,0.1386,
1130,0.1411,
1128,0.144,
1126,0.1474,
1124,0.1513,
1122,0.1557,
1120,0.1606,
1118,0.1661,
1116,0.172,
1114,0.1778,
1112,0.1826,
1110,0.1856,
1108,0.1858,
1106,0.1835,
1104,0.1796,
1102,0.1751,
1100,0.1708,
1098,0.1672,
1096,0.164,
1094,0.161,
1092,0.1582,
1090,0.1558,
1088,0.1538,
1086,0.1524,
1084,0.1513,
1082,0.1509,
1080,0.1506,
1078,0.1507,
1076,0.1511,
1074,0.1521,
1072,0.1535,
1070,0.1557,
1068,0.1582,
1066,0.161,
1064,0.164,
1062,0.1677,
1060,0.1723,
1058,0.1782,
1056,0.1857,
1054,0.1963,
1052,0.2117,
1050,0.2357,
1048,0.2748,
1046,0.3394,
1044,0.4427,
1042,0.5864,
1040,0.7167,
1038,0.7257,
1036,0.6235,
1034,0.512,
1032,0.4332,
1030,0.3862,
1028,0.3618,
1026,0.3531,
1024,0.3573,
1022,0.3763,
1020,0.4134,
1018,0.4666,
1016,0.517,
1014,0.532,
1012,0.4965,
1010,0.4285,
1008,0.3545,
1006,0.2903,
1004,0.2404,
