Wavenumber (cm-1),% Transmittance
3479.75788,0.69767
3479.27572,0.69756
3478.79356,0.69712
3478.31139,0.69661
3477.82923,0.69612
3477.34707,0.69569
3476.86491,0.69533
3476.38275,0.69486
3475.90059,0.69396
3475.41843,0.69299
3474.93627,0.69271
3474.4541,0.69297
3473.97194,0.69312
3473.48978,0.69306
3473.00762,0.69299
3472.52546,0.69291
3472.0433,0.69273
3471.56114,0.69244
3471.07898,0.69221
3470.59681,0.69241
3470.11465,0.69305
3469.63249,0.69353
3469.15033,0.69332
3468.66817,0.69256
3468.18601,0.69166
3467.70385,0.69088
3467.22169,0.69041
3466.73952,0.69022
3466.25736,0.68995
3465.7752,0.68954
3465.29304,0.68918
3464.81088,0.68892
3464.32872,0.68851
3463.84656,0.68759
3463.3644,0.68635
3462.88223,0.68564
3462.40007,0.68564
3461.91791,0.68576
3461.43575,0.68594
3460.95359,0.68639
3460.47143,0.68683
3459.98927,0.68681
3459.50711,0.68637
3459.02494,0.6859
3458.54278,0.68557
3458.06062,0.68523
3457.57846,0.68491
3457.0963,0.68465
3456.61414,0.68441
3456.13198,0.68416
3455.64982,0.6839
3455.16765,0.68366
3454.68549,0.6835
3454.20333,0.68333
3453.72117,0.68309
3453.23901,0.68285
3452.75685,0.68266
3452.27469,0.68247
3451.79252,0.68223
3451.31036,0.68195
3450.8282,0.68166
3450.34604,0.6814
3449.86388,0.68113
3449.38172,0.68068
3448.89956,0.67993
3448.4174,0.67815
3447.93523,0.67496
3447.45307,0.67274
3446.97091,0.67377
3446.48875,0.67618
3446.00659,0.67752
3445.52443,0.67794
3445.04227,0.67822
3444.56011,0.67839
3444.07794,0.6781
3443.59578,0.6771
3443.11362,0.67576
3442.63146,0.67522
3442.1493,0.67577
3441.66714,0.67648
3441.18498,0.67676
3440.70282,0.67679
3440.22065,0.67672
3439.73849,0.67663
3439.25633,0.67657
3438.77417,0.67667
3438.29201,0.677
3437.80985,0.67729
3437.32769,0.67716
3436.84553,0.67668
3436.36336,0.67637
3435.8812,0.67661
3435.39904,0.67704
3434.91688,0.677
3434.43472,0.67634
3433.95256,0.67544
3433.4704,0.67469
3432.98824,0.6742
3432.50607,0.67392
3432.02391,0.67363
3431.54175,0.6735
3431.05959,0.67387
3430.57743,0.67431
3430.09527,0.6742
3429.61311,0.67373
3429.13095,0.67329
3428.64878,0.67298
3428.16662,0.67273
3427.68446,0.67249
3427.2023,0.67224
3426.72014,0.67202
3426.23798,0.67185
3425.75582,0.67167
3425.27366,0.67146
3424.79149,0.67123
3424.30933,0.67097
3423.82717,0.6706
3423.34501,0.67009
3422.86285,0.66945
3422.38069,0.66888
3421.89853,0.66847
3421.41636,0.6678
3420.9342,0.66702
3420.45204,0.66705
3419.96988,0.66782
3419.48772,0.66848
3419.00556,0.66877
3418.5234,0.66889
3418.04124,0.66895
3417.55907,0.66895
3417.07691,0.6689
3416.59475,0.66884
3416.11259,0.66876
3415.63043,0.66871
3415.14827,0.66867
3414.66611,0.6686
3414.18395,0.66854
3413.70178,0.66869
3413.21962,0.66896
3412.73746,0.66896
3412.2553,0.66862
3411.77314,0.66816
3411.29098,0.66778
3410.80882,0.6676
3410.32666,0.66769
3409.84449,0.66797
3409.36233,0.66817
3408.88017,0.66801
3408.39801,0.66758
3407.91585,0.66717
3407.43369,0.66685
3406.95153,0.66665
3406.46937,0.66656
3405.9872,0.66652
3405.50504,0.66646
3405.02288,0.6663
3404.54072,0.66602
3404.05856,0.66577
