Wavenumber (cm-1),% Transmittance
3442.56583,0.82059
3442.08367,0.82209
3441.60152,0.82384
3441.11937,0.82467
3440.63722,0.82487
3440.15507,0.82498
3439.67291,0.82516
3439.19076,0.82539
3438.70861,0.82574
3438.22646,0.82628
3437.74431,0.82676
3437.26215,0.82693
3436.78,0.827
3436.29785,0.8273
3435.8157,0.82781
3435.33354,0.82823
3434.85139,0.82839
3434.36924,0.82825
3433.88709,0.82796
3433.40494,0.82774
3432.92278,0.82772
3432.44063,0.82787
3431.95848,0.82786
3431.47633,0.82782
3430.99418,0.82829
3430.51202,0.82906
3430.02987,0.82951
3429.54772,0.82963
3429.06557,0.82971
3428.58342,0.82969
3428.10126,0.82959
3427.61911,0.82966
3427.13696,0.82996
3426.65481,0.83032
3426.17266,0.83062
3425.6905,0.83079
3425.20835,0.83088
3424.7262,0.83096
3424.24405,0.8309
3423.7619,0.83057
3423.27974,0.83007
3422.79759,0.82946
3422.31544,0.82896
3421.83329,0.82872
3421.35113,0.82802
3420.86898,0.827
3420.38683,0.82723
3419.90468,0.82883
3419.42253,0.8304
3418.94037,0.83132
3418.45822,0.8319
3417.97607,0.83236
3417.49392,0.83268
3417.01177,0.83287
3416.52961,0.83294
3416.04746,0.83293
3415.56531,0.833
3415.08316,0.83314
3414.60101,0.83316
3414.11885,0.83313
3413.6367,0.83336
3413.15455,0.83379
3412.6724,0.83403
3412.19025,0.83388
3411.70809,0.83362
3411.22594,0.83354
3410.74379,0.83362
3410.26164,0.83381
3409.77948,0.83404
3409.29733,0.83414
3408.81518,0.83401
3408.33303,0.8338
3407.85088,0.83363
3407.36872,0.83356
3406.88657,0.83354
3406.40442,0.83353
3405.92227,0.83356
3405.44012,0.83362
3404.95796,0.83356
3404.47581,0.83333
3403.99366,0.8331
3403.51151,0.83327
3403.02936,0.83384
3402.5472,0.83442
3402.06505,0.83474
3401.5829,0.83485
3401.10075,0.83494
3400.6186,0.83511
3400.13644,0.83524
3399.65429,0.83516
3399.17214,0.83485
3398.68999,0.8343
3398.20784,0.83309
3397.72568,0.83158
3397.24353,0.8312
3396.76138,0.83219
3396.27923,0.83342
3395.79707,0.83428
3395.31492,0.83464
3394.83277,0.83452
3394.35062,0.83414
3393.86847,0.83332
3393.38631,0.83213
3392.90416,0.83185
3392.42201,0.83309
3391.93986,0.8346
3391.45771,0.83537
3390.97555,0.83556
3390.4934,0.83546
3390.01125,0.8353
3389.5291,0.83516
3389.04695,0.83503
