Created as New Dataset,Sample 104 By Administrator Date Monday, November 04 2019
cm-1,A
2048.00,0.1195
2046.00,0.1206
2044.00,0.1232
2042.00,0.1244
2040.00,0.1222
2038.00,0.1180
2036.00,0.1141
2034.00,0.1111
2032.00,0.1091
2030.00,0.1078
2028.00,0.1072
2026.00,0.1075
2024.00,0.1089
2022.00,0.1111
2020.00,0.1133
2018.00,0.1141
2016.00,0.1132
2014.00,0.1114
2012.00,0.1100
2010.00,0.1091
2008.00,0.1090
2006.00,0.1095
2004.00,0.1110
2002.00,0.1140
2000.00,0.1196
1998.00,0.1305
1996.00,0.1462
1994.00,0.1636
1992.00,0.1844
1990.00,0.2016
1988.00,0.2014
1986.00,0.1825
1984.00,0.1578
1982.00,0.1381
1980.00,0.1254
1978.00,0.1178
1976.00,0.1130
1974.00,0.1099
1972.00,0.1078
1970.00,0.1063
1968.00,0.1055
1966.00,0.1052
1964.00,0.1053
1962.00,0.1048
1960.00,0.1038
1958.00,0.1027
1956.00,0.1021
1954.00,0.1019
1952.00,0.1020
1950.00,0.1023
1948.00,0.1025
1946.00,0.1029
1944.00,0.1034
1942.00,0.1046
1940.00,0.1061
1938.00,0.1081
1936.00,0.1112
1934.00,0.1149
1932.00,0.1181
1930.00,0.1191
1928.00,0.1177
1926.00,0.1152
1924.00,0.1132
1922.00,0.1122
1920.00,0.1112
1918.00,0.1097
1916.00,0.1078
1914.00,0.1056
1912.00,0.1040
1910.00,0.1029
1908.00,0.1024
1906.00,0.1023
1904.00,0.1026
1902.00,0.1033
1900.00,0.1046
1898.00,0.1062
1896.00,0.1077
1894.00,0.1089
1892.00,0.1102
1890.00,0.1126
1888.00,0.1167
1886.00,0.1204
1884.00,0.1225
1882.00,0.1246
1880.00,0.1294
1878.00,0.1377
1876.00,0.1480
1874.00,0.1567
1872.00,0.1609
1870.00,0.1597
1868.00,0.1526
1866.00,0.1413
1864.00,0.1300
1862.00,0.1217
1860.00,0.1163
1858.00,0.1130
1856.00,0.1110
1854.00,0.1095
1852.00,0.1084
1850.00,0.1078
1848.00,0.1079
1846.00,0.1086
1844.00,0.1111
1842.00,0.1152
1840.00,0.1193
1838.00,0.1236
1836.00,0.1266
1834.00,0.1277
1832.00,0.1266
1830.00,0.1243
1828.00,0.1217
1826.00,0.1190
1824.00,0.1166
1822.00,0.1138
1820.00,0.1115
1818.00,0.1100
1816.00,0.1089
1814.00,0.1077
1812.00,0.1064
1810.00,0.1053
1808.00,0.1046
1806.00,0.1042
1804.00,0.1039
1802.00,0.1041
1800.00,0.1046
1798.00,0.1052
1796.00,0.1065
1794.00,0.1081
1792.00,0.1108
1790.00,0.1136
1788.00,0.1145
1786.00,0.1150
1784.00,0.1183
1782.00,0.1271
1780.00,0.1451
1778.00,0.1635
1776.00,0.1640
1774.00,0.1471
1772.00,0.1285
1770.00,0.1173
1768.00,0.1123
1766.00,0.1091
1764.00,0.1056
1762.00,0.1033
1760.00,0.1020
1758.00,0.1008
1756.00,0.1006
1754.00,0.1001
1752.00,0.0998
1750.00,0.1000
1748.00,0.0998
1746.00,0.1008
1744.00,0.1025
1742.00,0.1043
1740.00,0.1063
1738.00,0.1085
1736.00,0.1091
1734.00,0.1093
1732.00,0.1087
1730.00,0.1070
1728.00,0.1063
1726.00,0.1054
1724.00,0.1045
1722.00,0.1039
1720.00,0.1029
1718.00,0.1021
1716.00,0.1019
1714.00,0.1030
1712.00,0.1043
1710.00,0.1052
1708.00,0.1059
1706.00,0.1066
1704.00,0.1081
1702.00,0.1094
1700.00,0.1122
1698.00,0.1142
1696.00,0.1177
1694.00,0.1262
1692.00,0.1336
1690.00,0.1404
1688.00,0.1447
1686.00,0.1462
1684.00,0.1476
1682.00,0.1474
1680.00,0.1424
1678.00,0.1352
1676.00,0.1280
1674.00,0.1229
1672.00,0.1185
1670.00,0.1156
1668.00,0.1150
1666.00,0.1148
1664.00,0.1142
1662.00,0.1140
1660.00,0.1142
1658.00,0.1141
1656.00,0.1137
1654.00,0.1135
1652.00,0.1169
1650.00,0.1217
1648.00,0.1255
1646.00,0.1278
1644.00,0.1280
1642.00,0.1265
1640.00,0.1247
1638.00,0.1213
1636.00,0.1174
1634.00,0.1156
1632.00,0.1143
1630.00,0.1126
1628.00,0.1108
1626.00,0.1093
1624.00,0.1081
1622.00,0.1075
1620.00,0.1072
1618.00,0.1063
1616.00,0.1059
1614.00,0.1066
1612.00,0.1074
1610.00,0.1079
1608.00,0.1082
1606.00,0.1088
1604.00,0.1096
1602.00,0.1106
1600.00,0.1122
1598.00,0.1140
1596.00,0.1159
1594.00,0.1178
1592.00,0.1197
1590.00,0.1214
1588.00,0.1227
1586.00,0.1232
1584.00,0.1230
1582.00,0.1218
1580.00,0.1203
1578.00,0.1181
1576.00,0.1162
1574.00,0.1160
1572.00,0.1159
1570.00,0.1156
1568.00,0.1160
1566.00,0.1166
1564.00,0.1174
1562.00,0.1177
1560.00,0.1177
1558.00,0.1178
1556.00,0.1208
1554.00,0.1239
1552.00,0.1270
1550.00,0.1295
1548.00,0.1324
1546.00,0.1351
1544.00,0.1390
1542.00,0.1431
1540.00,0.1496
1538.00,0.1599
1536.00,0.1659
1534.00,0.1668
1532.00,0.1659
1530.00,0.1648
1528.00,0.1647
1526.00,0.1661
1524.00,0.1683
1522.00,0.1715
1520.00,0.1781
1518.00,0.1847
1516.00,0.1930
1514.00,0.2025
1512.00,0.2133
1510.00,0.2247
1508.00,0.2363
1506.00,0.2487
1504.00,0.2606
1502.00,0.2678
1500.00,0.2751
1498.00,0.2830
1496.00,0.2941
1494.00,0.3071
1492.00,0.3214
1490.00,0.3390
1488.00,0.3601
1486.00,0.3843
1484.00,0.4124
1482.00,0.4443
1480.00,0.4827
1478.00,0.5270
1476.00,0.5811
1474.00,0.6462
1472.00,0.7321
1470.00,0.8352
1468.00,0.9567
1466.00,1.1085
1464.00,1.3103
1462.00,1.5627
1460.00,1.8995
1458.00,2.3763
1456.00,2.9686
1454.00,2.9621
1452.00,2.9241
1450.00,2.9622
1448.00,2.9308
1446.00,2.9869
1444.00,3.0046
1442.00,2.8900
1440.00,2.2620
1438.00,1.7650
1436.00,1.4067
1434.00,1.1613
1432.00,0.9867
1430.00,0.8531
1428.00,0.7534
1426.00,0.6783
1424.00,0.6188
