Created as New Dataset,Sample 113 By Administrator Date Wednesday, July 29 2020
cm-1,A
2574.00,0.0769
2572.00,0.0760
2570.00,0.0756
2568.00,0.0754
2566.00,0.0754
2564.00,0.0755
2562.00,0.0755
2560.00,0.0756
2558.00,0.0756
2556.00,0.0756
2554.00,0.0758
2552.00,0.0761
2550.00,0.0765
2548.00,0.0768
2546.00,0.0770
2544.00,0.0768
2542.00,0.0764
2540.00,0.0759
2538.00,0.0754
2536.00,0.0751
2534.00,0.0749
2532.00,0.0748
2530.00,0.0749
2528.00,0.0750
2526.00,0.0751
2524.00,0.0753
2522.00,0.0755
2520.00,0.0757
2518.00,0.0758
2516.00,0.0759
2514.00,0.0760
2512.00,0.0761
2510.00,0.0761
2508.00,0.0759
2506.00,0.0756
2504.00,0.0751
2502.00,0.0745
2500.00,0.0740
2498.00,0.0736
2496.00,0.0733
2494.00,0.0731
2492.00,0.0728
2490.00,0.0725
2488.00,0.0721
2486.00,0.0718
2484.00,0.0714
2482.00,0.0710
2480.00,0.0706
2478.00,0.0700
2476.00,0.0695
2474.00,0.0689
2472.00,0.0684
2470.00,0.0678
2468.00,0.0674
2466.00,0.0670
2464.00,0.0667
2462.00,0.0665
2460.00,0.0665
2458.00,0.0665
2456.00,0.0666
2454.00,0.0667
2452.00,0.0667
2450.00,0.0667
2448.00,0.0665
2446.00,0.0664
2444.00,0.0662
2442.00,0.0661
2440.00,0.0660
2438.00,0.0658
2436.00,0.0657
2434.00,0.0654
2432.00,0.0652
2430.00,0.0649
2428.00,0.0645
2426.00,0.0642
2424.00,0.0640
2422.00,0.0638
2420.00,0.0636
2418.00,0.0635
2416.00,0.0635
2414.00,0.0635
2412.00,0.0636
2410.00,0.0637
2408.00,0.0638
2406.00,0.0640
2404.00,0.0641
2402.00,0.0642
2400.00,0.0643
2398.00,0.0644
2396.00,0.0644
2394.00,0.0644
2392.00,0.0645
2390.00,0.0645
2388.00,0.0647
2386.00,0.0649
2384.00,0.0651
2382.00,0.0654
2380.00,0.0657
2378.00,0.0660
2376.00,0.0664
2374.00,0.0669
2372.00,0.0673
2370.00,0.0676
2368.00,0.0680
2366.00,0.0616
2364.00,0.0621
2362.00,0.0626
2360.00,0.0630
