Created as New Dataset,Sample 116 By Administrator Date Monday, August 24 2020
cm-1,A
2456.00,-0.0063
2454.00,-0.0063
2452.00,-0.0063
2450.00,-0.0064
2448.00,-0.0064
2446.00,-0.0064
2444.00,-0.0065
2442.00,-0.0066
2440.00,-0.0066
2438.00,-0.0067
2436.00,-0.0068
2434.00,-0.0068
2432.00,-0.0067
2430.00,-0.0068
2428.00,-0.0069
2426.00,-0.0070
2424.00,-0.0071
2422.00,-0.0071
2420.00,-0.0072
2418.00,-0.0072
2416.00,-0.0071
2414.00,-0.0072
2412.00,-0.0072
2410.00,-0.0073
2408.00,-0.0075
2406.00,-0.0075
2404.00,-0.0076
2402.00,-0.0077
2400.00,-0.0078
2398.00,-0.0077
2396.00,-0.0077
2394.00,-0.0079
2392.00,-0.0081
2390.00,-0.0081
2388.00,-0.0081
2386.00,-0.0082
2384.00,-0.0083
2382.00,-0.0083
2380.00,-0.0084
2378.00,-0.0085
2376.00,-0.0085
2374.00,-0.0086
2372.00,-0.0087
2370.00,-0.0088
2368.00,-0.0087
2366.00,-0.0088
2364.00,-0.0090
2362.00,-0.0091
2360.00,-0.0091
2358.00,-0.0092
2356.00,-0.0094
2354.00,-0.0095
2352.00,-0.0096
2350.00,-0.0096
2348.00,-0.0096
2346.00,-0.0097
2344.00,-0.0098
2342.00,-0.0099
2340.00,-0.0100
2338.00,-0.0100
2336.00,-0.0101
2334.00,-0.0101
2332.00,-0.0102
2330.00,-0.0103
2328.00,-0.0104
2326.00,-0.0104
2324.00,-0.0105
2322.00,-0.0105
2320.00,-0.0105
2318.00,-0.0107
2316.00,-0.0108
2314.00,-0.0109
2312.00,-0.0110
2310.00,-0.0110
2308.00,-0.0110
2306.00,-0.0110
2304.00,-0.0112
2302.00,-0.0113
2300.00,-0.0113
2298.00,-0.0114
2296.00,-0.0116
2294.00,-0.0117
2292.00,-0.0116
2290.00,-0.0116
2288.00,-0.0117
2286.00,-0.0118
2284.00,-0.0119
2282.00,-0.0120
2280.00,-0.0121
2278.00,-0.0121
2276.00,-0.0122
2274.00,-0.0124
2272.00,-0.0124
2270.00,-0.0125
2268.00,-0.0126
2266.00,-0.0128
2264.00,-0.0130
2262.00,-0.0131
2260.00,-0.0132
2258.00,-0.0131
2256.00,-0.0130
2254.00,-0.0132
2252.00,-0.0133
2250.00,-0.0134
2248.00,-0.0137
2246.00,-0.0139
2244.00,-0.0140
2242.00,-0.0141
2240.00,-0.0142
2238.00,-0.0142
2236.00,-0.0142
2234.00,-0.0144
2232.00,-0.0146
2230.00,-0.0146
2228.00,-0.0145
2226.00,-0.0146
2224.00,-0.0150
2222.00,-0.0152
2220.00,-0.0150
2218.00,-0.0150
2216.00,-0.0152
2214.00,-0.0155
2212.00,-0.0156
2210.00,-0.0158
2208.00,-0.0160
2206.00,-0.0161
2204.00,-0.0159
2202.00,-0.0158
2200.00,-0.0157
2198.00,-0.0158
2196.00,-0.0159
2194.00,-0.0163
2192.00,-0.0165
2190.00,-0.0166
2188.00,-0.0167
2186.00,-0.0165
2184.00,-0.0167
2182.00,-0.0170
2180.00,-0.0168
2178.00,-0.0170
2176.00,-0.0172
2174.00,-0.0171
2172.00,-0.0172
2170.00,-0.0174
2168.00,-0.0175
2166.00,-0.0176
2164.00,-0.0179
2162.00,-0.0181
2160.00,-0.0178
2158.00,-0.0175
2156.00,-0.0176
2154.00,-0.0178
2152.00,-0.0179
2150.00,-0.0181
2148.00,-0.0186
2146.00,-0.0186
2144.00,-0.0182
2142.00,-0.0181
2140.00,-0.0183
2138.00,-0.0183
2136.00,-0.0184
2134.00,-0.0184
2132.00,-0.0184
2130.00,-0.0186
2128.00,-0.0186
2126.00,-0.0185
2124.00,-0.0185
2122.00,-0.0185
2120.00,-0.0187
2118.00,-0.0188
2116.00,-0.0187
2114.00,-0.0186
2112.00,-0.0189
2110.00,-0.0190
2108.00,-0.0190
2106.00,-0.0187
2104.00,-0.0186
2102.00,-0.0186
2100.00,-0.0186
2098.00,-0.0188
2096.00,-0.0188
2094.00,-0.0187
2092.00,-0.0184
2090.00,-0.0183
2088.00,-0.0182
2086.00,-0.0182
2084.00,-0.0183
2082.00,-0.0183
2080.00,-0.0183
2078.00,-0.0181
2076.00,-0.0180
2074.00,-0.0180
2072.00,-0.0179
2070.00,-0.0174
2068.00,-0.0171
2066.00,-0.0169
2064.00,-0.0172
2062.00,-0.0171
2060.00,-0.0170
2058.00,-0.0169
2056.00,-0.0167
2054.00,-0.0167
2052.00,-0.0168
2050.00,-0.0166
2048.00,-0.0163
2046.00,-0.0162
2044.00,-0.0159
2042.00,-0.0159
2040.00,-0.0160
2038.00,-0.0157
2036.00,-0.0154
2034.00,-0.0152
2032.00,-0.0151
2030.00,-0.0153
2028.00,-0.0152
2026.00,-0.0147
2024.00,-0.0148
2022.00,-0.0148
2020.00,-0.0145
2018.00,-0.0143
2016.00,-0.0141
2014.00,-0.0142
2012.00,-0.0146
2010.00,-0.0146
2008.00,-0.0140
2006.00,-0.0132
2004.00,-0.0129
2002.00,-0.0127
2000.00,-0.0128
1998.00,-0.0130
1996.00,-0.0131
1994.00,-0.0129
1992.00,-0.0130
1990.00,-0.0132
1988.00,-0.0130
1986.00,-0.0130
1984.00,-0.0131
1982.00,-0.0131
1980.00,-0.0126
1978.00,-0.0118
1976.00,-0.0116
1974.00,-0.0116
1972.00,-0.0113
1970.00,-0.0113
1968.00,-0.0115
1966.00,-0.0113
1964.00,-0.0113
1962.00,-0.0114
1960.00,-0.0113
1958.00,-0.0112
1956.00,-0.0114
1954.00,-0.0113
1952.00,-0.0112
1950.00,-0.0112
1948.00,-0.0111
1946.00,-0.0109
1944.00,-0.0110
1942.00,-0.0112
1940.00,-0.0111
1938.00,-0.0110
1936.00,-0.0110
1934.00,-0.0110
1932.00,-0.0109
