Time (s),Heat Flow (mJ/s)
244.2,20.604608
244.39998,20.604861
244.60002,20.605042
244.8,20.605274
244.99998,20.605527
245.20002,20.605816
245.4,20.60612
245.59998,20.606428
245.80002,20.606825
246,20.607184
246.19998,20.607545
246.40002,20.607961
246.6,20.608374
246.79998,20.608753
247.00002,20.609187
247.2,20.609618
247.39998,20.61007
247.60002,20.61045
247.8,20.610863
247.99998,20.611316
248.20002,20.611822
248.4,20.612343
248.59998,20.612904
248.80002,20.613554
249,20.614094
249.19998,20.614565
249.40002,20.615072
249.6,20.615756
249.79998,20.616659
250.00002,20.618282
250.2,20.620444
250.39998,20.623689
250.60002,20.62652
250.8,20.628808
250.99998,20.63054
251.20002,20.634633
251.4,20.640109
251.59998,20.650489
251.80002,20.661914
252,20.688829
252.19998,20.728845
252.40002,20.822818
252.6,20.99777
252.79998,21.275706
253.00002,21.635115
253.2,22.07039
253.39998,22.550106
253.60002,23.069177
253.8,23.617599
253.99998,24.181873
254.20002,24.763039
254.4,25.356205
254.59998,25.957749
254.80002,26.56307
255,27.16938
255.19998,27.788306
255.40002,28.405513
255.6,29.023907
255.79998,29.643874
256.00002,30.266032
256.2,30.886041
256.39998,31.506941
256.60002,32.131798
256.8,32.756325
256.99998,33.376591
257.20002,33.993715
257.4,34.614001
257.59998,35.232733
257.80002,35.848179
258,36.459594
258.19998,37.060123
258.40002,37.662844
258.6,38.260811
258.79998,38.854652
259.00002,39.446738
259.2,40.024409
259.39998,40.596297
259.60002,41.156934
259.8,41.698898
259.99998,42.190012
260.20002,42.41833
260.4,42.185378
260.59998,41.610675
260.80002,40.834442
261,39.950358
261.19998,39.016674
261.40002,38.079603
261.6,37.14923
261.79998,36.242349
262.00002,35.370561
262.2,34.534294
262.39998,33.742119
262.60002,32.992681
262.8,32.286105
262.99998,31.616413
263.20002,30.981656
263.4,30.380792
263.59998,29.824291
263.80002,29.297286
264,28.801745
264.19998,28.332994
264.40002,27.897148
264.6,27.484731
264.79998,27.095716
265.00002,26.7311
265.2,26.38249
265.39998,26.057841
265.60002,25.750005
265.8,25.462629
265.99998,25.197701
266.20002,24.941007
266.4,24.695888
266.59998,24.471326
266.80002,24.26237
267,24.065047
267.19998,23.872506
267.40002,23.693824
267.6,23.528652
267.79998,23.373255
268.00002,23.223643
268.2,23.081015
268.39998,22.9491
268.60002,22.82499
268.8,22.71221
268.99998,22.598046
269.20002,22.493237
269.4,22.398372
269.59998,22.304918
269.80002,22.210525
270,22.130078
270.19998,22.056235
270.40002,21.980209
270.6,21.907313
270.79998,21.840299
271.00002,21.777016
271.2,21.717747
271.39998,21.660917
271.60002,21.605763
271.8,21.559275
271.99998,21.515424
272.20002,21.471338
272.4,21.424276
272.59998,21.385106
272.80002,21.349024
273,21.310868
273.19998,21.274094
273.40002,21.243077
273.6,21.218059
273.79998,21.188844
274.00002,21.160946
274.2,21.135548
274.39998,21.110984
274.60002,21.08642
274.8,21.061995
274.99998,21.040892
275.20002,21.023847
275.4,21.008925
275.59998,20.991122
275.80002,20.973769
276,20.956863
276.19998,20.941115
276.40002,20.925637
276.6,20.909379
276.79998,20.895235
277.00002,20.883616
277.2,20.872948
277.39998,20.862123
277.60002,20.851207
277.8,20.842216
277.99998,20.833807
278.20002,20.825325
278.4,20.817056
278.59998,20.808809
