Time (sec),Heat Flow (mJ/s)
281.4,7.297843
281.59998,7.296457
281.80002,7.29466
282,7.292672
282.19998,7.290779
282.40002,7.288812
282.6,7.286843
282.79998,7.285043
283.00002,7.284204
283.2,7.28389
283.39998,7.283368
283.60002,7.282435
283.8,7.281612
283.99998,7.280658
284.20002,7.279593
284.4,7.278639
284.59998,7.277684
284.80002,7.277033
285,7.276398
285.19998,7.275876
285.40002,7.275356
285.6,7.274947
285.79998,7.274481
286.00002,7.274036
286.2,7.273551
286.39998,7.273104
286.60002,7.272658
286.8,7.272192
286.99998,7.271689
287.20002,7.271243
287.4,7.270796
287.59998,7.270461
287.80002,7.270091
288,7.269794
288.19998,7.269572
288.40002,7.269295
288.6,7.268979
288.79998,7.268625
289.00002,7.268198
289.2,7.268108
289.39998,7.268132
289.60002,7.268173
289.8,7.268214
289.99998,7.268294
290.20002,7.268467
290.4,7.26877
290.59998,7.268964
290.80002,7.26908
291,7.269195
291.19998,7.269294
291.40002,7.269335
291.6,7.269394
291.80002,7.26955
292.00003,7.26974
292.20004,7.26995
292.40005,7.270143
292.60006,7.270352
292.80007,7.27058
293.00008,7.270733
293.20009,7.27087
293.4001,7.271041
293.60011,7.271251
293.80012,7.2715
294.00013,7.271784
294.20014,7.272071
294.40015,7.272355
294.60016,7.272733
294.80017,7.273227
295.00018,7.273737
295.20019,7.274171
295.4002,7.274533
295.60021,7.275005
295.80022,7.27544
296.00023,7.275876
296.20024,7.276367
296.40025,7.276877
296.60026,7.277426
296.80027,7.27788
297.00028,7.278257
297.20029,7.278656
297.4003,7.279072
297.60031,7.279525
297.80032,7.279924
298.00033,7.28032
298.20034,7.280698
298.40035,7.281134
298.60036,7.281568
298.80037,7.281983
299.00038,7.282344
299.20039,7.282722
299.4004,7.283118
299.60041,7.283498
299.80042,7.283875
300.00043,7.284309
300.20044,7.284745
300.40045,7.285178
300.60046,7.285612
300.80047,7.286064
301.00048,7.2865
301.20049,7.286896
301.4005,7.287292
301.60051,7.28769
301.80052,7.288086
302.00053,7.288519
302.20054,7.288974
302.40055,7.289407
302.60056,7.289859
302.80057,7.290333
303.00058,7.290766
303.20059,7.291199
303.4006,7.291653
303.60061,7.292124
303.80062,7.292576
304.00063,7.293068
