Time (s),Heat Flow (mJ/s)
256.99998,7.703855
257.20002,7.69881
257.4,7.693746
257.59998,7.688682
257.80002,7.683562
258,7.678517
258.19998,7.67349
258.40002,7.66852
258.6,7.663549
258.79998,7.65856
259.00002,7.653479
259.2,7.648359
259.39998,7.643352
259.60002,7.638401
259.8,7.633505
259.99998,7.628591
260.20002,7.62364
260.4,7.618726
260.59998,7.613887
260.80002,7.60916
261,7.6046
261.19998,7.60017
261.40002,7.595667
261.6,7.5912
261.79998,7.586808
262.00002,7.582435
262.2,7.578062
262.39998,7.573726
262.60002,7.569409
262.8,7.565036
262.99998,7.560682
263.20002,7.556494
263.4,7.552345
263.59998,7.548234
263.80002,7.544046
264,7.539805
264.19998,7.535488
264.40002,7.531098
264.6,7.526743
264.79998,7.522316
265.00002,7.51787
265.2,7.51346
265.39998,7.509107
265.60002,7.505573
265.8,7.50241
265.99998,7.4991
266.20002,7.495603
266.4,7.491901
266.59998,7.488218
266.80002,7.484555
267,7.480927
267.19998,7.477263
267.40002,7.4736
267.6,7.470009
267.79998,7.466495
268.00002,7.463018
268.2,7.459576
268.39998,7.456137
268.60002,7.452604
268.8,7.449144
268.99998,7.445574
269.20002,7.441967
269.4,7.438544
269.59998,7.435124
269.80002,7.431833
270,7.42856
270.19998,7.425325
270.40002,7.422109
270.6,7.418948
270.79998,7.415732
271.00002,7.412645
271.2,7.409522
271.39998,7.406418
271.60002,7.403333
271.8,7.400228
271.99998,7.397161
272.20002,7.394149
272.4,7.391064
272.59998,7.388072
272.80002,7.385134
273,7.382254
273.19998,7.379374
273.40002,7.376511
273.6,7.373612
273.79998,7.370695
274.00002,7.367776
274.2,7.364859
274.39998,7.361924
274.60002,7.359137
274.8,7.356441
274.99998,7.353767
275.20002,7.351092
275.4,7.348396
275.59998,7.345777
275.80002,7.343233
276,7.340687
276.19998,7.338049
276.40002,7.335503
276.6,7.332921
276.79998,7.330414
277.00002,7.327961
277.2,7.325473
277.39998,7.322985
277.60002,7.320494
277.8,7.318006
277.99998,7.315537
278.20002,7.313161
278.4,7.3108
278.59998,7.308461
278.80002,7.306067
279,7.303762
279.19998,7.301442
279.40002,7.299122
279.6,7.296762
279.79998,7.294442
280.00002,7.292119
280.2,7.289725
280.39998,7.287442
280.60002,7.285234
280.8,7.283116
280.99998,7.281001
281.20002,7.278997
281.4,7.277103
281.59998,7.275155
281.80002,7.273204
282,7.271182
282.19998,7.269161
282.40002,7.267229
282.6,7.265281
282.79998,7.263371
283.00002,7.262149
283.2,7.260255
283.39998,7.258307
283.60002,7.256379
283.8,7.254466
283.99998,7.2525
284.20002,7.250534
284.4,7.248622
284.59998,7.246712
284.80002,7.24482
285,7.242982
285.19998,7.241128
285.40002,7.239311
285.6,7.23751
285.79998,7.235675
286.00002,7.23384
286.2,7.231983
286.39998,7.230111
286.60002,7.228276
286.8,7.226475
286.99998,7.224677
287.20002,7.222916
287.4,7.22119
287.59998,7.219522
287.80002,7.217799
288,7.216091
288.19998,7.21435
288.40002,7.212682
288.6,7.211086
288.79998,7.209474
289.00002,7.207882
289.2,7.206304
289.39998,7.204804
289.60002,7.203267
289.8,7.201783
289.99998,7.200302
290.20002,7.198876
290.4,7.197541
290.59998,7.196283
290.80002,7.195025
291,7.193764
291.19998,7.19245
291.40002,7.191136
291.6,7.189857
291.79998,7.188562
292.00002,7.187285
292.2,7.186043
292.39998,7.184841
292.60002,7.183673
292.8,7.182527
292.99998,7.181362
293.20002,7.180231
293.4,7.179067
293.59998,7.177884
293.80002,7.1767
294,7.175551
294.19998,7.174349
294.40002,7.173185
294.6,7.172054
294.79998,7.170927
295.00002,7.169856
295.2,7.168799
295.39998,7.167728
295.60002,7.166672
295.8,7.165656
295.99998,7.164622
296.20002,7.163603
296.4,7.16255
296.59998,7.161498
296.80002,7.160441
297,7.159407
297.19998,7.158411
297.40002,7.157451
297.6,7.156469
297.79998,7.155528
298.00002,7.154606
298.2,7.153754
298.39998,7.152851
298.60002,7.15198
298.8,7.151077
298.99998,7.15021
299.20002,7.149269
299.4,7.148325
299.59998,7.147477
299.80002,7.146719
300,7.146001
300.19998,7.145376
300.40002,7.144751
300.6,7.144142
300.79998,7.14348
301.00002,7.142874
301.2,7.142282
301.39998,7.141676
301.60002,7.141122
301.8,7.140609
301.99998,7.140096
302.20002,7.139617
302.4,7.139122
302.59998,7.138628
302.80002,7.138133
303,7.137654
303.19998,7.137178
303.40002,7.136683
303.6,7.136222
303.79998,7.135784
304.00002,7.135364
304.2,7.134977
304.39998,7.134594
304.60002,7.134211
304.8,7.133881
304.99998,7.133479
305.20002,7.133093
305.4,7.132728
305.59998,7.132327
305.80002,7.131944
306,7.131595
306.19998,7.131249
306.40002,7.130848
306.6,7.130499
306.79998,7.130135
307.00002,7.129789
307.2,7.12944
307.39998,7.129076
307.60002,7.12873
307.8,7.128418
307.99998,7.12811
308.20002,7.127783
308.4,7.127526
308.59998,7.127218
308.80002,7.126891
309,7.126598
309.19998,7.126271
309.40002,7.125996
309.6,7.125688
309.79998,7.125398
310.00002,7.125127
310.2,7.124852
310.39998,7.1246
310.60002,7.124347
310.8,7.124128
310.99998,7.123876
311.20002,7.123642
311.4,7.123404
311.59998,7.12317
311.80002,7.122937
312,7.122662
312.19998,7.122391
312.40002,7.12212
312.6,7.121901
312.79998,7.121649
313.00002,7.121415
313.2,7.121196
313.39998,7.120943
313.60002,7.120691
313.8,7.120435
313.99998,7.120164
314.20002,7.11993
314.4,7.119711
314.59998,7.119552
314.80002,7.119337
315,7.119099
315.19998,7.118866
315.40002,7.118614
315.6,7.118357
315.79998,7.118049
316.00002,7.117742
316.2,7.11743
316.39998,7.117085
316.60002,7.11674
316.8,7.116335
316.99998,7.115934
317.20002,7.115459
317.4,7.11498
317.59998,7.114468
317.80002,7.11403
318,7.113626
318.19998,7.113188
318.40002,7.11275
318.6,7.112327
318.79998,7.111889
319.00002,7.111466
319.2,7.111028
319.39998,7.110591
319.60002,7.110168
319.8,7.109693
319.99998,7.109255
320.20002,7.108851
320.4,7.108431
320.59998,7.108031
320.80002,7.107664
321,7.107319
321.19998,7.106974
321.40002,7.106648
321.6,7.106336
321.79998,7.105973
322.00002,7.105643
322.2,7.10528
322.39998,7.104916
322.60002,7.104535
322.8,7.104223
322.99998,7.103878
323.20002,7.103534
323.4,7.103259
323.59998,7.102952
323.80002,7.102644
324,7.102351
324.19998,7.102025
324.40002,7.101755
324.6,7.101518
324.79998,7.101266
325.00002,7.100996
325.2,7.100777
325.39998,7.100544
325.60002,7.100292
325.8,7.100074
325.99998,7.099804
326.20002,7.099552
326.4,7.099315
326.59998,7.099063
326.80002,7.098812
327,7.098556
327.19998,7.098267
327.40002,7.097997
327.6,7.097741
327.79998,7.097453
328.00002,7.097182
328.2,7.096908
328.39998,7.096638
328.60002,7.096368
328.8,7.096112
328.99998,7.095824
329.20002,7.095572
329.4,7.095335
329.59998,7.095084
329.80002,7.094832
330,7.094595
330.19998,7.094325
330.40002,7.094055
330.6,7.093818
330.79998,7.093567
331.00002,7.093315
331.2,7.093078
331.39998,7.092808
331.60002,7.092575
331.8,7.092338
331.99998,7.092106
332.20002,7.091873
332.4,7.091654
332.59998,7.091403
332.80002,7.09117
333,7.090952
333.19998,7.090701
333.40002,7.090486
333.6,7.090268
333.79998,7.090035
334.00002,7.089803
334.2,7.089584
334.39998,7.089352
334.60002,7.089156
334.8,7.088956
334.99998,7.088742
335.20002,7.088561
335.4,7.088365
335.59998,7.08817
335.80002,7.087993
336,7.08783
336.19998,7.087653
336.40002,7.087495
336.6,7.087351
336.79998,7.087193
337.00002,7.087034
337.2,7.086909
337.39998,7.086769
337.60002,7.086629
337.8,7.086541
337.99998,7.086401
338.20002,7.08628
338.4,7.086155
338.59998,7.086015
338.80002,7.085875
339,7.085768
339.19998,7.085647
339.40002,7.085489
339.6,7.085363
339.79998,7.085224
340.00002,7.085098
340.2,7.084977
