Time (s),Heat Flow (J/s)
198.40002,14.564293
198.6,14.565115
198.79998,14.565881
199.00002,14.566684
199.2,14.567467
199.39998,14.568213
199.60002,14.568937
199.8,14.56968
199.99998,14.570404
200.20002,14.57113
200.4,14.571854
200.59998,14.572577
200.80002,14.573304
201,14.574008
201.19998,14.574695
201.40002,14.575438
201.6,14.576181
201.79998,14.576924
202.00002,14.577691
202.2,14.578454
202.39998,14.579197
202.60002,14.579963
202.8,14.580726
202.99998,14.581528
203.20002,14.582314
203.4,14.583057
203.59998,14.583819
203.80002,14.584605
204,14.585427
204.19998,14.586213
204.40002,14.586995
204.6,14.587798
204.79998,14.588583
205.00002,14.589346
205.2,14.590109
205.39998,14.590855
205.60002,14.591578
205.8,14.592321
205.99998,14.593087
206.20002,14.593849
206.4,14.594592
206.59998,14.595299
206.80002,14.596002
207,14.596725
207.19998,14.597452
207.40002,14.598155
207.6,14.598819
207.79998,14.599526
208.00002,14.600209
208.2,14.600912
208.39998,14.60158
208.60002,14.602263
208.8,14.602927
208.99998,14.603594
209.20002,14.604258
209.4,14.604921
209.59998,14.605608
209.80002,14.606292
210,14.606975
210.19998,14.607662
210.40002,14.608306
210.6,14.608969
210.79998,14.609617
211.00002,14.610261
211.2,14.610924
211.39998,14.611591
211.60002,14.612235
211.8,14.612879
211.99998,14.613546
212.20002,14.614229
212.4,14.614873
212.59998,14.615556
212.80002,14.616282
213,14.617005
213.19998,14.617712
213.40002,14.618434
213.6,14.619176
213.79998,14.619903
214.00002,14.620605
214.2,14.621328
214.39998,14.622015
214.60002,14.622698
214.8,14.623381
214.99998,14.624107
215.20002,14.624849
215.4,14.625591
215.59998,14.626357
215.80002,14.627119
216,14.627901
216.19998,14.628706
216.40002,14.629507
216.6,14.630328
216.79998,14.631153
217.00002,14.631954
217.2,14.632755
217.39998,14.63356
217.60002,14.634322
217.8,14.635064
217.99998,14.63579
218.20002,14.636552
218.4,14.637274
218.59998,14.638039
218.80002,14.638762
219,14.639523
219.19998,14.640308
219.40002,14.64109
219.6,14.641891
219.79998,14.642656
220.00002,14.643398
220.2,14.64412
220.39998,14.644826
220.60002,14.645548
220.8,14.64629
220.99998,14.647036
221.20002,14.647778
221.4,14.6485
221.59998,14.649245
221.80002,14.650027
222,14.650768
222.19998,14.651534
222.40002,14.652334
222.6,14.653135
222.79998,14.65392
223.00002,14.654701
223.2,14.655502
223.39998,14.656267
223.60002,14.657029
223.8,14.65779
223.99998,14.658516
224.20002,14.659277
224.4,14.660038
224.59998,14.660804
224.80002,14.661565
225,14.662346
225.19998,14.663111
225.40002,14.663872
225.6,14.664633
225.79998,14.665399
226.00002,14.66616
226.2,14.66696
226.39998,14.667765
226.60002,14.668526
226.8,14.669287
226.99998,14.670072
227.20002,14.670813
227.4,14.671574
227.59998,14.672339
227.80002,14.67312
228,14.673901
228.19998,14.674705
228.40002,14.675486
228.6,14.676306
228.79998,14.67715
229.00002,14.67801
229.2,14.678869
229.39998,14.679752
229.60002,14.680592
229.8,14.681432
229.99998,14.682272
