Time (s),Heat Flow (J/s)
208.60002,20.446121
208.8,20.446054
208.99998,20.446006
209.20002,20.445977
209.4,20.445928
209.59998,20.44588
209.80002,20.445869
210,20.445856
210.19998,20.445863
210.40002,20.445851
210.6,20.445839
210.79998,20.445864
211.00002,20.44587
211.2,20.445858
211.39998,20.445829
211.60002,20.4458
211.8,20.445788
211.99998,20.445759
212.20002,20.445712
212.4,20.445682
212.59998,20.445635
212.80002,20.445606
213,20.445558
213.19998,20.445512
213.40002,20.445465
213.6,20.445435
213.79998,20.445371
214.00002,20.445306
214.2,20.445259
214.39998,20.445194
214.60002,20.44513
214.8,20.445047
214.99998,20.444964
215.20002,20.444828
215.4,20.444709
215.59998,20.444573
215.80002,20.444455
216,20.444372
216.19998,20.444272
216.40002,20.444244
216.6,20.444179
216.79998,20.444115
217.00002,20.444051
217.2,20.444004
217.39998,20.443959
217.60002,20.443913
217.8,20.443813
217.99998,20.443749
218.20002,20.443666
218.4,20.443603
218.59998,20.443576
218.80002,20.443567
219,20.443556
219.19998,20.443529
219.40002,20.443465
219.6,20.443437
219.79998,20.443392
220.00002,20.443382
220.2,20.443427
220.39998,20.443473
220.60002,20.443516
220.8,20.44358
220.99998,20.443643
221.20002,20.443706
221.4,20.443768
221.59998,20.443832
221.80002,20.443912
222,20.443994
222.19998,20.444057
222.40002,20.444121
222.6,20.444111
222.79998,20.444103
223.00002,20.444059
223.2,20.444013
223.39998,20.444005
223.60002,20.443979
223.8,20.444006
223.99998,20.44407
224.20002,20.444116
224.4,20.444251
224.59998,20.444387
224.80002,20.444595
225,20.444748
225.19998,20.444921
225.40002,20.445057
225.6,20.44494
225.79998,20.444483
226.00002,20.443989
226.2,20.443693
226.39998,20.443685
226.60002,20.443749
226.8,20.443867
226.99998,20.443878
227.20002,20.443816
227.4,20.443773
227.59998,20.443676
227.80002,20.443577
228,20.443516
228.19998,20.443456
228.40002,20.443377
228.6,20.443314
228.79998,20.443218
229.00002,20.443139
229.2,20.443061
229.39998,20.442998
229.60002,20.44301
229.8,20.44302
229.99998,20.443068
230.20002,20.443151
230.4,20.443235
230.59998,20.443281
230.80002,20.443365
231,20.443447
231.19998,20.443549
231.40002,20.443634
231.6,20.443718
231.79998,20.443818
232.00002,20.443902
232.2,20.443949
232.39998,20.443997
232.60002,20.444009
232.8,20.444038
232.99998,20.444087
233.20002,20.444135
233.4,20.444146
233.59998,20.444159
233.80002,20.444189
234,20.444254
234.19998,20.444267
234.40002,20.444244
234.6,20.444201
234.79998,20.444142
235.00002,20.444119
235.2,20.444076
235.39998,20.444035
235.60002,20.444012
235.8,20.443987
235.99998,20.443947
236.20002,20.443906
236.4,20.443899
236.59998,20.443931
236.80002,20.443944
237,20.443992
237.19998,20.444023
237.40002,20.444055
237.6,20.444085
237.79998,20.444098
238.00002,20.444112
