Time     ,Unsubtracted Heat Flow
248.20002,19.726014
248.4,19.726066
248.59998,19.726086
248.80002,19.726057
249,19.726043
249.19998,19.725997
249.40002,19.726034
249.6,19.726087
249.79998,19.726156
250.00002,19.726292
250.2,19.726378
250.39998,19.726447
250.60002,19.72655
250.8,19.726669
250.99998,19.727101
251.20002,19.727782
251.4,19.72828
251.59998,19.728911
251.80002,19.729295
252,19.731213
252.19998,19.736764
252.40002,19.745633
252.6,19.766008
252.79998,19.803801
253.00002,19.894275
253.2,20.080619
253.39998,20.3947
253.60002,20.823741
253.8,21.341297
253.99998,21.929701
254.20002,22.555248
254.4,23.212455
254.59998,23.897635
254.80002,24.59452
255,25.304543
255.19998,26.014139
255.40002,26.734801
255.6,27.455613
255.79998,28.181515
256.00002,28.908998
256.2,29.634796
256.39998,30.360487
256.60002,31.089574
256.8,31.818477
256.99998,32.54318
257.20002,33.267515
257.4,33.996223
257.59998,34.720581
257.80002,35.438679
258,36.154061
258.19998,36.861978
258.40002,37.567728
258.6,38.26573
258.79998,38.963407
259.00002,39.660112
259.2,40.352503
259.39998,41.039743
259.60002,41.716058
259.8,42.345767
259.99998,42.877433
260.20002,43.255212
260.4,43.130465
260.59998,42.365545
260.80002,41.261343
261,40.048392
261.19998,38.819887
261.40002,37.615615
261.6,36.461752
261.79998,35.368519
262.00002,34.338387
262.2,33.380357
262.39998,32.493016
262.60002,31.652794
262.8,30.873632
262.99998,30.143692
263.20002,29.466935
263.4,28.833389
263.59998,28.23969
263.80002,27.699373
264,27.18287
264.19998,26.70624
264.40002,26.261429
264.6,25.845242
264.79998,25.456838
265.00002,25.093913
265.2,24.759754
265.39998,24.443356
265.60002,24.147028
265.8,23.870103
265.99998,23.621066
266.20002,23.383824
266.4,23.159243
266.59998,22.94644
266.80002,22.750367
267,22.567621
267.19998,22.396132
267.40002,22.238241
267.6,22.085913
267.79998,21.942945
268.00002,21.813805
268.2,21.689417
268.39998,21.570994
268.60002,21.464893
268.8,21.363098
268.99998,21.269912
269.20002,21.179317
269.4,21.096615
269.59998,21.017846
269.80002,20.940397
270,20.871819
270.19998,20.809894
270.40002,20.748484
270.6,20.686725
270.79998,20.631687
271.00002,20.579409
271.2,20.533738
271.39998,20.483375
271.60002,20.444114
271.8,20.404173
271.99998,20.366381
272.20002,20.334652
272.4,20.30031
272.59998,20.26511
272.80002,20.232157
273,20.205895
273.19998,20.181944
273.40002,20.159663
273.6,20.133978
273.79998,20.108241
274.00002,20.08738
274.2,20.066387
274.39998,20.0483
274.60002,20.032874
274.8,20.016489
274.99998,19.999228
275.20002,19.983851
275.4,19.967563
275.59998,19.953574
275.80002,19.941485
276,19.931345
276.19998,19.920957
276.40002,19.908321
276.6,19.898874
276.79998,19.888734
277.00002,19.878825
277.2,19.870782
277.39998,19.861996
277.60002,19.852236
277.8,19.843879
277.99998,19.836315
278.20002,19.829545
278.4,19.824295
278.59998,19.818847
278.80002,19.81368
279,19.808942
279.19998,19.803973
279.40002,19.799516
279.6,19.794366
279.79998,19.789743
280.00002,19.785236
280.2,19.781093
280.39998,19.776751
280.60002,19.773038
280.8,19.769539
280.99998,19.76604
281.20002,19.76279
281.4,19.759803
281.59998,19.757131
281.80002,19.754458
282,19.751918
282.19998,19.749592
282.40002,19.747251
282.6,19.745041
282.79998,19.743079
283.00002,19.741316
283.2,19.739552
283.39998,19.737706
283.60002,19.735827
283.8,19.733898
283.99998,19.732052
284.20002,19.730255
284.4,19.728508
284.59998,19.726744
284.80002,19.725047
285,19.723382
285.19998,19.721751
285.40002,19.720252
285.6,19.718851
285.79998,19.717766
286.00002,19.716812
286.2,19.716471
286.39998,19.716459
286.60002,19.715886
286.8,19.715229
286.99998,19.714541
287.20002,19.71362
287.4,19.712782
287.59998,19.712093
287.80002,19.711354
288,19.710764
288.19998,19.710191
288.40002,19.709585
288.6,19.709011
288.79998,19.708454
289.00002,19.707881
289.2,19.707357
289.39998,19.706817
289.60002,19.706293
289.8,19.705753
289.99998,19.705212
290.20002,19.704639
290.4,19.704066
290.59998,19.703542
290.80002,19.703052
291,19.702578
291.19998,19.702119
291.40002,19.701712
291.6,19.701271
291.79998,19.700862
292.00002,19.700504
292.2,19.700163
292.39998,19.699788
292.60002,19.699446
292.8,19.699121
292.99998,19.698796
293.20002,19.698503
293.4,19.698195
293.59998,19.697836
293.80002,19.697527
294,19.697235
294.19998,19.696959
294.40002,19.696667
294.6,19.696392
294.79998,19.696116
295.00002,19.695857
295.2,19.695598
295.39998,19.695372
295.60002,19.695179
295.8,19.694986
295.99998,19.694793
296.20002,19.694617
296.4,19.69444
296.59998,19.694314
296.80002,19.694171
297,19.694061
