Path,File,Date Acquired,Sample,Misc
C:\Users\vvannost\Documents\,Pain01.d,9/28/2020 13:52,Mixture, 
TIC: Pain01.d\data.ms,,,,
11.317,76741,,,
11.323,76896,,,
11.328,69963,,,
11.334,75506,,,
11.339,72490,,,
11.345,72728,,,
11.35,71264,,,
11.356,76853,,,
11.361,66725,,,
11.367,72976,,,
11.372,77624,,,
11.378,72279,,,
11.383,76484,,,
11.389,67667,,,
11.394,73197,,,
11.4,77248,,,
11.405,77610,,,
11.411,78897,,,
11.416,74862,,,
11.422,83449,,,
11.427,77000,,,
11.433,79107,,,
11.438,85098,,,
11.444,86049,,,
11.449,78741,,,
11.455,79367,,,
11.46,84010,,,
11.466,74177,,,
11.471,78020,,,
11.477,83003,,,
11.482,74324,,,
11.488,79076,,,
11.493,75482,,,
11.499,77851,,,
11.504,81521,,,
11.51,82259,,,
11.515,75957,,,
11.521,78438,,,
11.526,79471,,,
11.532,79297,,,
11.537,73783,,,
11.543,83585,,,
11.548,80042,,,
11.554,81952,,,
11.559,79257,,,
